book,chapters,folder,html_folder
Genesis,50,01_Ge,genesis
Exodus,40,02_Ex,exodus
Leviticus,27,03_Le,leviticus
Numbers,36,04_Nu,numbers
Deuteronomy,34,05_De,deuteronomy
Joshua,24,06_Jos,joshua
Judges,21,07_Jg,judges
Ruth,4,08_Ru,ruth
1 Samuel,31,09_1Sa,1_samuel
2 Samuel,24,10_2Sa,2_samuel
1 Kings,22,11_1Ki,1_kings
2 Kings,25,12_2Ki,2_kings
1 Chronicles,29,13_1Ch,1_chronicles
2 Chronicles,36,14_2Ch,2_chronicles
Ezra,10,15_Ezr,ezra
Nehemiah,13,16_Ne,nehemiah
Esther,10,17_Es,esther
Job,42,18_Job,job
Psalms,150,19_Ps,psalms
Proverbs,31,20_Pr,proverbs
Ecclesiastes,12,21_Ec,ecclesiastes
Song of Solomon,8,22_Ca,song_of_solomon
Isaiah,66,23_Isa,isaiah
Jeremiah,52,24_Jer,jeremiah
Lamentations,5,25_La,lamentations
Ezekiel,48,26_Eze,ezekiel
Daniel,12,27_Da,daniel
Hosea,14,28_Ho,hosea
Joel,3,29_Joe,joel
Amos,9,30_Am,amos
Obadiah,1,31_Ob,obadiah
Jonah,4,32_Jon,jonah
Micah,7,33_Mic,micah
Nahum,3,34_Na,nahum
Habakkuk,3,35_Hab,habakkuk
Zephaniah,3,36_Zep,zephaniah
Haggai,2,37_Hag,haggai
Zechariah,14,38_Zec,zechariah
Malachi,4,39_Mal,malachi
Matthew,28,40_Mt,matthew
Mark,16,41_Mr,mark
Luke,24,42_Lu,luke
John,21,43_Joh,john
Acts,28,44_Ac,acts
Romans,16,45_Ro,romans
1 Corinthians,16,46_1Co,1_corinthians
2 Corinthians,13,47_2Co,2_corinthians
Galatians,6,48_Ga,galatians
Ephesians,6,49_Eph,ephesians
Philippians,4,50_Php,philippians
Colossians,4,51_Col,colossians
1 Thessalonians,5,52_1Th,1_thessalonians
2 Thessalonians,3,53_2Th,2_thessalonians
1 Timothy,6,54_1Ti,1_timothy
2 Timothy,4,55_2Ti,2_timothy
Titus,3,56_Tit,titus
Philemon,1,57_Phm,philemon
Hebrews,13,58_Heb,hebrews
James,5,59_Jas,james
1 Peter,5,60_1Pe,1_peter
2 Peter,3,61_2Pe,2_peter
1 John,5,62_1Jo,1_john
2 John,1,63_2Jo,2_john
3 John,1,64_3Jo,3_john
Jude,1,65_Jude,jude
Revelation,22,66_Re,revelation
